 cookie=0x0, duration=6.641s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ea:5d:4d:40:ef:8e,dl_dst=0e:c9:b2:09:b2:37,arp_spa=10.0.0.3,arp_tpa=10.0.0.10,arp_op=2 actions=output:3
 cookie=0x0, duration=6.635s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ea:5d:4d:40:ef:8e,dl_dst=96:ba:2e:98:e3:69,arp_spa=10.0.0.3,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
 cookie=0x0, duration=6.633s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=32:80:36:fe:4a:54,dl_dst=ea:5d:4d:40:ef:8e,arp_spa=10.0.0.8,arp_tpa=10.0.0.3,arp_op=2 actions=output:1
 cookie=0x0, duration=6.632s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=0e:c9:b2:09:b2:37,dl_dst=ea:5d:4d:40:ef:8e,arp_spa=10.0.0.10,arp_tpa=10.0.0.3,arp_op=2 actions=output:1
 cookie=0x0, duration=6.632s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=96:ba:2e:98:e3:69,dl_dst=ea:5d:4d:40:ef:8e,arp_spa=10.0.0.11,arp_tpa=10.0.0.3,arp_op=2 actions=output:1
 cookie=0x0, duration=6.606s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ea:5d:4d:40:ef:8e,dl_dst=32:80:36:fe:4a:54,arp_spa=10.0.0.3,arp_tpa=10.0.0.8,arp_op=2 actions=output:2
 cookie=0x0, duration=5.660s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=4a:49:bb:65:14:0d,dl_dst=72:aa:8a:62:77:3f,arp_spa=10.0.0.2,arp_tpa=10.0.0.15,arp_op=2 actions=output:4
 cookie=0x0, duration=5.657s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=72:aa:8a:62:77:3f,dl_dst=4a:49:bb:65:14:0d,arp_spa=10.0.0.15,arp_tpa=10.0.0.2,arp_op=2 actions=output:1
 cookie=0x0, duration=3.591s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=0a:64:5a:6a:85:f6,dl_dst=72:aa:8a:62:77:3f,arp_spa=10.0.0.1,arp_tpa=10.0.0.15,arp_op=2 actions=output:4
 cookie=0x0, duration=3.589s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=4a:49:bb:65:14:0d,dl_dst=d6:56:78:e5:d1:cb,arp_spa=10.0.0.2,arp_tpa=10.0.0.14,arp_op=2 actions=output:4
 cookie=0x0, duration=3.584s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=0a:64:5a:6a:85:f6,dl_dst=f6:f2:16:3d:3a:6e,arp_spa=10.0.0.1,arp_tpa=10.0.0.13,arp_op=2 actions=output:4
