 cookie=0x0, duration=10s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=fa:e5:5d:46:64:da,dl_dst=7a:81:cd:f2:48:6f,arp_spa=10.0.0.10,arp_tpa=10.0.0.16,arp_op=1 actions=output:4
 cookie=0x0, duration=9.980s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=7a:81:cd:f2:48:6f,dl_dst=fa:e5:5d:46:64:da,arp_spa=10.0.0.16,arp_tpa=10.0.0.10,arp_op=1 actions=output:3
 cookie=0x0, duration=8.732s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=de:e3:6a:72:76:2d,dl_dst=66:e9:c0:5e:2b:d8,arp_spa=10.0.0.6,arp_tpa=10.0.0.9,arp_op=1 actions=output:3
 cookie=0x0, duration=8.724s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=de:e3:6a:72:76:2d,dl_dst=1e:c3:e5:d1:13:0d,arp_spa=10.0.0.6,arp_tpa=10.0.0.14,arp_op=1 actions=output:4
 cookie=0x0, duration=8.724s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=66:e9:c0:5e:2b:d8,dl_dst=de:e3:6a:72:76:2d,arp_spa=10.0.0.9,arp_tpa=10.0.0.6,arp_op=1 actions=output:2
 cookie=0x0, duration=8.712s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=1e:c3:e5:d1:13:0d,dl_dst=de:e3:6a:72:76:2d,arp_spa=10.0.0.14,arp_tpa=10.0.0.6,arp_op=1 actions=output:2
 cookie=0x0, duration=7.960s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=66:0c:d2:4e:55:d8,dl_dst=ce:05:98:6f:7a:58,arp_spa=10.0.0.4,arp_tpa=10.0.0.7,arp_op=1 actions=output:2
 cookie=0x0, duration=7.956s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=ce:05:98:6f:7a:58,dl_dst=66:0c:d2:4e:55:d8,arp_spa=10.0.0.7,arp_tpa=10.0.0.4,arp_op=1 actions=output:1
 cookie=0x0, duration=6.928s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=7a:b9:3f:84:23:ef,dl_dst=86:78:d4:ee:d6:e9,arp_spa=10.0.0.1,arp_tpa=10.0.0.13,arp_op=1 actions=output:4
 cookie=0x0, duration=6.924s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=c2:d9:70:7f:ec:56,dl_dst=66:e9:c0:5e:2b:d8,arp_spa=10.0.0.3,arp_tpa=10.0.0.9,arp_op=1 actions=output:3
 cookie=0x0, duration=6.908s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=de:e3:6a:72:76:2d,dl_dst=86:78:d4:ee:d6:e9,arp_spa=10.0.0.6,arp_tpa=10.0.0.13,arp_op=1 actions=output:4
