 cookie=0x0, duration=12.947s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=16.009s, table=0, n_packets=2, n_bytes=84, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=19.069s, table=0, n_packets=3, n_bytes=126, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=22.111s, table=0, n_packets=5, n_bytes=210, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=25.169s, table=0, n_packets=5, n_bytes=210, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=0.814s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=28.210s, table=0, n_packets=8, n_bytes=336, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=3.855s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=6.909s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=9.964s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=62:64:ce:ca:ed:36,dl_dst=aa:06:64:62:0d:8b,arp_spa=10.0.0.7,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=1.026s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
 cookie=0x0, duration=4.084s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=aa:06:64:62:0d:8b,dl_dst=62:64:ce:ca:ed:36,arp_spa=10.0.0.3,arp_tpa=10.0.0.7,arp_op=2 actions=output:2
